frequency,monetary,recency
1,107.99,131
1,32.99,145
1,115.9,168
1,54.9,211
1,69.0,158
1,24.99,80
1,99.9,295
1,1999.0,149
1,121.9,270
1,59.7,210
1,100.0,223
1,86.0,19
1,139.9,452
1,4.99,140
1,59.9,362
1,13.9,228
1,48.9,529
1,79.9,62
1,84.99,273
1,99.0,63
1,369.9,106
1,44.99,125
1,527.9,31
1,79.99,83
1,39.9,584
1,32.99,236
1,108.9,41
1,78.45,122
1,34.9,517
1,33.9,14
1,31.9,416
1,109.9,286
1,29.9,421
1,27.99,60
1,13.65,265
1,36.0,316
1,34.99,179
3,110.9,156
1,94.99,500
1,94.0,91
1,330.0,124
1,55.5,87
1,64.9,440
1,129.9,13
1,56.99,469
1,58.9,275
1,48.9,224
1,89.9,272
1,44.99,349
1,265.0,83
1,199.9,696
1,45.9,305
1,59.9,434
1,27.99,220
1,665.54,470
1,63.0,12
1,19.9,25
1,34.99,210
1,50.0,42
1,59.99,474
1,17.5,53
1,99.9,355
1,100.0,363
1,9.9,294
1,36.0,362
1,59.0,10
1,149.9,151
1,95.0,23
1,69.9,347
1,24.95,125
1,59.9,383
1,239.9,76
1,69.99,90
1,26.0,25
1,315.0,130
1,117.0,16
1,15.9,126
2,142.98,16
1,119.9,226
1,1199.0,480
1,238.9,441
1,49.9,201
1,19.9,32
1,249.0,233
1,416.5,76
1,51.9,285
1,102.0,314
1,24.07,517
1,89.9,191
1,12.9,164
2,81.99000000000001,282
1,425.0,270
1,94.0,358
1,56.99,362
3,125.7,173
1,51.9,491
1,49.0,30
1,1815.91,380
1,43.0,189
1,14.03,115
1,115.0,169
1,108.0,203
1,130.0,206
1,55.5,326
1,107.9,14
2,209.88,18
1,86.99,397
1,29.9,375
1,14.49,86
1,42.9,293
1,21.9,122
1,13.65,118
1,148.0,280
1,49.9,225
1,59.9,557
1,24.99,170
1,78.0,103
1,899.0,446
1,89.99,260
1,79.9,124
1,199.0,172
1,37.99,396
1,139.0,137
1,32.9,541
1,67.99,72
1,122.99,163
1,59.9,233
1,31.9,332
1,58.2,364
1,285.15,451
1,219.9,153
1,169.9,243
1,130.0,104
1,179.9,444
1,109.9,72
1,112.0,458
1,50.0,369
1,138.0,85
1,129.99,465
1,38.0,329
1,220.0,434
1,68.26,74
1,149.9,116
1,49.9,398
1,43.0,359
1,83.9,192
1,69.9,412
1,49.0,53
1,29.0,411
1,199.9,82
1,149.9,318
1,30.9,254
1,179.99,551
1,58.0,230
1,60.0,87
1,69.2,324
1,99.0,388
1,12.99,371
1,277.0,520
1,610.0,365
1,488.0,32
1,85.0,255
1,19.95,110
1,199.0,250
1,49.0,176
2,169.89,413
1,14.0,467
1,34.99,382
1,25.99,45
1,103.9,100
1,23.9,14
1,155.0,152
1,81.8,472
1,195.5,292
1,11.97,574
1,24.9,405
1,227.8,250
1,190.0,80
1,179.0,207
1,74.9,180
1,164.9,493
1,309.0,565
1,1199.9,302
1,79.99,60
1,109.99,529
1,129.0,181
1,57.9,165
1,182.9,396
1,179.9,226
1,62.5,41
1,1890.0,77
1,51.8,273
2,238.98,205
1,23.2,535
1,97.9,220
1,38.9,102
1,32.9,222
2,152.78,116
1,79.9,240
1,135.9,15
1,142.0,415
1,190.0,117
1,99.5,451
1,99.99,50
1,204.9,86
1,105.99,278
1,129.9,46
1,59.9,431
1,59.9,357
1,124.9,73
1,24.99,202
1,109.95,368
1,21.99,257
1,105.99,18
1,149.9,124
1,76.89,261
1,199.99,342
1,89.9,570
1,215.0,142
1,58.99,134
1,69.9,388
1,234.0,358
1,219.0,20
1,39.9,334
1,244.0,13
1,32.76,56
1,68.9,96
1,139.9,476
1,114.9,71
1,21.9,226
1,499.0,494
1,460.0,144
1,33.0,111
1,199.9,75
1,189.99,445
1,64.9,297
1,49.95,258
1,149.9,208
1,57.39,285
1,656.43,24
1,114.94,319
1,450.0,108
1,149.0,267
1,21.99,364
1,32.89,74
1,239.0,243
1,79.9,406
2,169.98000000000002,152
1,30.5,191
1,379.0,34
1,110.0,140
1,89.9,287
1,188.0,329
1,22.0,308
2,1017.0,270
1,53.9,139
1,151.2,245
1,50.0,563
1,57.99,272
1,149.9,171
1,29.0,46
1,78.0,124
2,74.0,272
1,169.9,66
1,97.5,19
1,125.0,131
1,19.9,377
1,95.0,83
1,128.8,246
1,139.99,273
1,56.9,424
1,547.99,339
1,49.9,17
1,49.9,133
1,79.9,300
1,1890.0,440
1,129.9,261
1,220.0,224
1,89.9,92
1,389.0,19
1,45.9,526
1,75.0,295
1,320.0,149
1,32.99,282
1,15.0,396
1,52.5,154
1,205.0,401
1,248.0,105
1,69.9,33
1,155.0,40
1,39.9,288
1,679.99,377
1,144.0,166
1,209.9,515
1,79.9,50
2,296.0,30
1,278.99,158
1,59.99,123
1,84.9,191
1,57.49,123
1,79.9,90
3,120.7,272
1,17.68,427
1,8.9,545
1,34.9,349
1,34.9,182
1,81.4,171
1,150.0,25
1,129.99,336
1,137.9,103
1,31.0,457
2,164.8,459
1,82.0,19
1,89.99,467
1,109.9,152
1,775.0,40
1,79.0,174
1,95.0,78
1,129.0,172
1,59.9,383
1,89.9,281
1,219.22,142
2,220.64,120
1,79.9,96
1,19.99,308
1,45.9,495
1,66.0,76
1,27.9,31
1,249.9,388
1,16.0,266
1,89.9,317
2,40.99,210
1,63.49,523
1,49.49,187
1,24.5,254
1,59.9,475
1,190.83,284
1,57.17,487
1,78.0,67
2,163.9,272
1,46.9,462
1,195.9,326
1,27.9,71
2,339.89,505
1,55.13,429
1,149.9,405
1,100.0,199
1,17.9,291
1,119.99,317
1,59.0,501
1,143.0,548
1,99.65,108
1,24.99,191
1,38.99,417
1,145.9,203
1,609.0,190
1,69.9,194
1,188.99,60
1,63.6,138
1,139.9,360
2,490.0,473
2,95.0,117
1,59.9,572
1,48.59,55
1,120.0,151
1,84.99,199
1,199.0,268
1,116.0,52
1,75.0,32
1,59.9,135
1,155.97,51
1,44.9,24
1,299.0,299
1,98.9,483
1,69.9,162
1,135.0,368
1,39.99,272
2,263.47,231
1,29.9,66
1,29.99,218
1,13.65,145
1,31.0,586
1,34.9,49
1,589.0,526
1,99.99,412
1,129.0,174
1,15.0,73
1,156.0,274
2,89.8,314
1,204.9,433
1,129.9,511
1,65.0,398
1,23.99,222
1,122.99,156
1,630.0,45
1,29.0,272
1,159.0,147
1,30.99,175
1,95.03,335
1,46.99,163
1,79.0,44
1,99.9,201
1,119.99,214
1,254.0,334
1,25.0,147
1,39.99,117
2,68.8,277
1,259.9,340
2,278.0,150
1,16.97,364
1,219.9,539
1,33.9,88
1,119.9,112
1,27.99,195
1,19.9,138
4,99.6,282
1,319.0,343
1,41.9,182
1,192.9,6
1,49.0,219
1,14.99,276
1,27.9,112
1,89.8,223
1,77.9,227
1,244.99,25
1,39.9,140
1,249.9,697
1,85.0,273
1,74.0,38
1,60.0,285
1,489.99,365
1,77.98,110
1,105.0,185
1,188.0,115
1,189.0,198
1,29.9,194
1,116.9,25
1,369.0,496
2,75.0,579
1,247.0,30
1,50.0,26
1,364.0,29
1,125.19,92
1,239.0,121
1,168.9,264
1,59.9,485
1,349.9,508
1,24.75,524
1,144.99,165
1,45.0,370
1,8.99,223
1,80.0,517
1,139.9,77
1,186.9,297
1,49.9,451
1,179.9,347
1,72.62,281
2,139.9,264
1,64.8,10
1,59.42,229
1,69.9,234
1,127.0,243
1,199.9,86
1,139.99,454
1,106.9,205
1,129.0,275
1,20.0,22
1,235.92,246
1,49.9,510
1,289.99,272
1,67.9,201
1,119.0,143
1,49.99,123
1,27.9,387
2,315.0,51
1,347.9,230
1,29.5,229
1,99.9,248
1,120.0,117
1,144.9,191
1,415.37,282
1,189.0,25
2,155.9,11
1,21.45,113
1,19.49,214
2,110.0,213
1,199.99,132
1,165.0,161
1,13.65,268
1,19.9,419
1,129.0,142
1,26.9,22
2,888.0,375
1,95.0,498
1,99.99,283
1,44.99,295
1,81.5,162
1,119.9,116
1,49.9,95
1,29.99,216
1,324.3,411
1,74.9,219
1,129.99,488
1,59.0,203
1,39.9,179
1,73.0,69
1,59.99,347
1,115.0,271
1,52.9,384
1,49.9,103
1,249.9,369
1,1200.0,369
1,36.0,338
1,299.99,276
1,7.99,327
1,59.9,249
1,139.0,62
2,90.8,466
1,149.9,162
1,448.47,165
1,39.0,224
1,59.9,298
1,59.88,109
1,40.4,276
1,235.0,30
2,29.99,425
1,99.9,286
1,238.0,268
1,498.0,258
1,49.0,326
1,72.0,428
1,48.9,282
1,104.9,232
1,81.7,169
1,13.65,236
1,179.5,328
1,89.0,68
1,1200.0,366
1,129.9,217
1,102.0,121
1,49.3,147
1,239.99,331
1,88.9,41
2,136.9,235
1,125.0,9
1,24.89,139
1,349.9,189
1,57.49,127
1,139.9,217
1,60.0,44
1,75.0,97
1,39.9,539
1,180.0,15
1,46.0,93
1,25.49,248
1,129.99,581
1,35.9,418
1,69.9,202
1,69.9,229
1,45.0,448
1,14.9,8
1,129.99,472
1,59.0,31
1,59.0,257
1,180.0,164
1,49.99,337
1,26.9,458
1,369.8,170
1,99.99,417
1,118.0,116
1,109.99,141
1,69.9,122
1,92.1,194
1,59.9,243
1,185.6,188
1,139.9,7
1,59.9,196
1,69.9,241
1,18.99,214
1,45.0,26
1,42.99,539
1,11.35,273
1,60.0,523
1,10.0,247
1,215.9,110
1,259.0,536
1,19.99,413
1,55.0,390
2,66.99000000000001,314
1,196.36,368
1,89.9,270
1,179.9,84
1,104.0,208
1,47.99,446
1,99.0,572
1,22.0,349
1,38.0,262
1,16.9,585
1,42.9,153
1,49.9,281
1,459.0,154
1,18.95,206
1,24.2,450
1,74.8,18
1,55.0,46
1,110.32,87
4,227.24,395
1,56.99,427
1,52.0,13
1,205.0,412
1,48.9,17
1,282.0,211
1,62.99,60
1,166.0,110
1,119.0,138
1,95.0,191
1,115.0,158
1,21.8,328
1,99.0,282
1,229.99,250
1,24.9,492
1,45.0,355
1,29.99,370
1,149.65,85
1,59.9,49
1,189.9,66
1,99.8,73
1,69.8,223
1,109.9,548
1,349.9,263
1,67.91,127
1,40.0,90
1,99.8,137
1,39.9,95
1,179.0,211
1,61.99,221
1,69.0,201
1,131.99,569
1,12.99,41
1,24.99,255
1,25.99,144
1,40.0,283
1,1649.99,353
1,179.99,457
1,50.34,302
1,21.6,420
1,189.15,306
1,34.99,268
1,99.9,58
1,69.0,161
1,64.99,502
1,78.0,69
1,49.9,86
1,42.0,552
1,38.4,238
1,34.0,308
1,89.9,40
1,39.0,203
1,24.99,172
1,89.9,548
1,276.99,52
1,12.25,212
2,339.2,43
1,99.9,556
1,39.99,242
1,75.0,288
1,514.99,575
1,129.9,279
2,63.46,21
1,39.6,391
1,99.9,335
1,89.0,237
1,366.3,314
1,144.0,168
1,13.98,228
1,109.9,154
1,99.9,124
1,65.0,281
1,59.9,68
1,19.99,56
1,269.99,388
1,1999.99,17
1,115.19,80
1,132.9,388
1,388.0,207
1,85.9,388
1,18.95,514
1,149.9,32
1,160.55,274
1,250.0,328
1,23.8,242
1,19.99,550
1,24.99,277
1,359.99,426
1,167.0,211
1,27.9,124
1,32.0,39
1,269.0,308
1,239.0,304
1,13.99,480
1,90.0,132
1,34.99,280
1,209.99,79
1,173.9,54
1,16.0,66
1,31.9,312
1,13.3,261
1,45.95,355
1,69.0,484
1,19.99,504
1,72.0,167
1,339.9,278
1,454.0,326
1,43.9,566
2,243.26,393
1,32.0,38
1,135.64,87
1,24.99,80
1,15.0,559
1,45.0,109
2,224.9,38
1,849.0,534
1,239.9,404
1,189.9,74
1,144.99,282
1,36.0,303
1,125.9,293
1,22.99,131
2,179.89,579
1,169.9,520
1,39.9,122
1,19.9,229
1,110.0,89
1,525.0,315
1,45.0,33
1,6.9,280
1,159.99,359
1,19.9,187
1,180.0,6
1,190.0,135
1,51.9,33
1,96.0,315
1,49.9,459
1,25.0,454
1,175.99,142
1,279.0,130
1,199.99,471
1,39.99,159
1,25.9,402
2,243.0,151
1,28.5,39
1,89.8,223
2,89.99000000000001,46
1,57.89,60
1,149.0,164
1,49.9,218
1,119.9,418
1,157.0,351
1,208.9,147
1,69.9,153
1,49.9,33
1,79.99,209
1,48.9,264
1,29.9,108
1,735.0,119
1,49.9,307
1,18.9,61
1,59.9,235
1,90.0,315
1,32.99,48
1,49.0,340
1,41.0,48
1,199.0,270
1,29.99,244
1,189.0,179
1,119.99,524
1,113.0,422
2,220.64,80
1,62.99,166
1,18.0,70
1,48.94,27
1,119.9,207
1,49.9,137
1,105.9,110
1,22.99,160
1,229.9,133
1,134.99,92
1,39.0,107
1,279.9,220
1,139.99,416
1,79.9,277
1,49.9,15
1,149.99,126
1,24.9,193
1,185.0,29
1,95.28,22
1,35.0,408
1,79.0,333
1,61.5,120
1,169.99,576
1,139.19,28
1,59.9,115
1,34.9,373
1,169.0,235
2,206.89,95
1,249.99,321
2,320.0,16
1,63.0,446
1,143.8,195
1,23.0,489
1,61.9,266
1,75.0,460
1,498.8,358
1,35.0,123
1,59.0,370
1,139.99,384
1,115.9,280
1,87.67,150
1,109.9,388
1,26.0,197
1,699.4,20
1,43.99,13
1,23.8,402
1,165.9,212
1,179.99,257
1,1156.99,334
1,99.0,202
1,54.9,585
1,422.0,321
1,179.98,112
1,175.0,228
1,25.0,65
1,1199.99,412
1,30.9,119
1,79.0,40
1,89.99,479
1,27.99,249
1,390.0,82
1,38.0,151
1,129.9,315
1,78.65,213
1,249.9,150
1,199.9,111
1,690.0,154
1,379.0,561
1,29.99,122
1,90.0,335
2,258.94,243
1,185.0,117
1,99.0,281
1,74.99,159
1,79.0,155
1,149.0,74
1,79.0,230
1,265.0,74
1,37.95,265
1,89.9,550
1,194.0,200
1,64.99,509
1,39.9,457
1,449.9,126
2,267.4,363
1,120.0,132
2,199.8,94
1,166.0,509
1,99.9,18
1,130.0,138
1,130.0,82
1,450.0,286
1,49.9,397
2,24.0,155
1,387.9,12
1,29.99,447
1,257.9,15
2,248.9,135
1,79.9,474
1,53.9,142
2,1265.89,192
1,37.5,396
1,149.9,110
1,120.0,571
1,198.9,529
1,29.99,41
1,39.0,139
1,75.9,420
1,149.0,428
3,201.7,82
1,75.0,270
1,298.9,124
1,99.99,556
1,46.2,419
1,7.0,73
1,61.9,213
2,219.78,236
1,101.0,198
1,13.65,188
1,85.0,272
2,149.8,399
2,169.8,301
1,27.93,314
1,179.9,136
1,180.0,437
1,110.0,452
1,209.9,319
1,29.9,458
1,189.99,460
1,144.99,261
1,44.49,411
1,135.0,133
1,45.9,104
1,127.0,48
1,49.9,194
1,259.9,458
1,131.99,155
1,69.9,275
1,30.0,459
1,32.64,370
1,199.0,7
1,199.9,168
1,17.9,446
1,5.2,210
1,49.99,252
1,69.9,322
1,110.99,401
1,399.0,91
1,29.9,354
1,189.99,424
1,139.0,91
1,49.9,46
1,29.9,112
1,159.9,94
1,80.0,34
1,42.99,453
1,39.9,378
1,49.9,393
2,154.8,288
1,129.9,26
1,76.49,278
2,99.98,143
1,43.99,504
1,41.0,144
1,65.99,243
1,74.9,65
1,69.0,279
1,133.0,277
1,78.6,61
1,24.97,73
1,78.0,70
1,106.9,8
1,14.5,58
1,89.9,505
1,149.9,182
1,160.65,18
1,180.4,62
2,93.5,293
1,89.0,237
1,208.9,196
1,219.99,319
2,64.49000000000001,74
1,849.0,493
1,15.32,583
1,79.0,114
1,35.9,69
1,38.97,212
1,410.0,239
2,313.98,142
1,89.0,334
1,29.99,189
1,69.9,45
1,565.0,328
1,49.28,302
1,39.9,50
2,275.0,24
1,149.9,160
1,40.99,63
1,74.9,238
1,149.0,145
1,89.9,413
1,23.99,200
2,154.0,253
1,85.0,26
1,79.9,18
1,194.25,410
1,76.0,140
1,1074.38,285
1,52.9,411
1,25.99,437
1,35.2,15
2,75.8,74
1,139.9,186
1,39.1,329
1,99.99,463
1,102.9,133
1,27.99,164
2,98.3,378
1,69.99,103
1,31.9,409
1,249.9,109
1,210.9,105
1,1106.99,136
1,268.9,456
1,119.0,30
1,35.0,32
1,82.9,338
1,56.9,420
1,59.9,189
1,38.9,159
1,19.99,336
1,135.0,80
1,139.9,530
1,69.2,263
1,72.99,291
1,19.9,167
1,199.99,316
1,129.9,64
1,139.99,269
1,64.99,121
1,53.9,122
1,229.9,33
1,41.5,179
1,181.99,142
1,37.9,456
1,38.25,218
2,176.8,222
1,73.98,37
1,88.9,285
1,145.0,479
1,44.9,17
1,435.0,327
2,87.8,203
1,127.2,18
1,22.0,40
1,104.0,131
1,16.0,466
1,29.9,195
1,89.99,396
1,79.9,122
1,27.5,562
1,39.9,66
1,149.9,67
1,69.0,405
1,42.9,159
1,99.0,426
1,59.9,437
1,349.9,413
1,79.9,446
1,50.19,93
1,586.0,70
2,184.06,225
1,320.0,130
1,13.2,192
1,348.9,251
1,69.99,144
2,538.6800000000001,360
1,89.99,263
1,25.9,269
1,84.99,249
1,839.0,36
1,89.9,270
2,338.0,174
1,129.6,258
1,58.0,112
1,119.0,188
1,71.9,293
1,24.9,99
1,49.9,474
1,35.99,397
1,79.99,393
1,199.9,48
1,89.49,137
1,729.0,443
1,199.7,527
1,799.0,154
1,89.0,224
1,90.0,114
1,155.97,51
1,59.9,447
1,12.1,264
1,29.89,282
1,219.9,283
1,107.54,16
1,59.9,36
1,27.99,120
1,40.0,391
1,59.99,157
1,49.9,59
1,179.99,98
1,59.9,389
1,24.99,294
1,39.9,555
1,119.9,275
1,154.9,463
1,20.9,24
1,153.0,354
1,79.9,542
1,139.9,34
1,29.5,222
1,79.9,244
1,199.0,116
1,169.0,578
1,49.0,153
1,18.9,72
1,199.9,107
1,69.9,475
1,109.9,544
1,54.99,180
1,20.3,428
1,159.9,520
1,109.0,510
1,25.0,111
1,170.0,148
1,89.9,162
1,25.9,84
1,89.99,264
1,35.0,109
1,75.9,214
1,150.0,272
1,109.5,486
1,47.9,28
1,279.99,270
1,25.0,61
1,149.9,232
1,91.55,76
1,59.9,40
1,34.9,242
1,59.9,511
1,44.95,317
1,49.9,247
1,155.0,8
1,797.6,109
1,88.99,412
1,55.99,343
1,2399.0,282
1,22.5,397
1,84.99,328
1,99.9,282
1,42.9,20
1,49.9,18
1,35.9,247
1,299.99,112
1,112.33,356
1,56.9,183
1,109.9,406
1,49.99,226
1,15.19,90
1,53.99,180
1,34.9,66
1,39.0,9
1,19.99,264
1,52.49,221
1,124.88,64
1,89.9,206
1,25.99,326
1,359.9,388
3,429.9,86
1,104.0,161
1,299.0,125
1,616.0,83
1,299.9,272
1,119.4,64
1,329.9,269
1,49.9,233
1,54.9,14
2,576.0,419
1,49.9,379
1,59.9,349
1,79.9,509
1,19.6,276
1,172.0,111
1,142.0,391
1,135.9,475
1,387.1,72
1,58.99,522
1,53.9,120
1,395.0,334
1,109.9,59
1,164.9,98
1,900.0,390
1,117.47,409
1,39.99,117
1,32.9,77
1,36.9,84
1,44.9,178
1,37.9,116
1,59.0,170
1,26.99,540
1,48.9,195
1,118.8,25
1,20.0,269
1,42.99,474
1,99.9,13
1,299.99,86
1,104.49,171
1,39.9,506
1,110.0,126
2,319.8,342
1,16.99,191
1,42.99,510
1,31.9,424
1,249.0,485
1,159.9,77
1,569.0,76
1,24.9,31
2,41.9,200
1,44.99,17
1,34.99,273
1,61.99,158
1,86.9,237
1,98.9,529
1,37.0,149
1,159.77,192
1,97.9,160
1,55.0,47
1,99.9,254
1,26.4,36
1,59.9,511
1,168.8,282
1,106.0,105
1,21.99,166
1,179.0,166
1,139.99,179
1,27.9,218
1,76.0,266
1,24.99,66
1,549.0,82
1,149.9,155
1,69.9,103
1,32.0,206
1,56.5,163
1,99.9,157
1,59.9,43
1,19.9,103
1,89.99,178
1,79.0,250
1,89.9,272
1,99.9,228
1,69.3,258
1,193.0,241
1,27.9,153
1,199.9,134
1,229.89,271
1,30.5,220
1,23.9,574
1,9.2,282
1,57.9,333
1,53.9,122
1,38.25,341
1,88.0,121
1,97.5,62
1,109.0,149
1,700.0,152
1,44.9,90
1,19.9,239
1,20.0,284
1,79.99,18
1,109.9,47
1,99.0,281
1,25.9,205
1,1599.99,337
1,320.0,191
1,69.9,316
1,107.99,20
1,219.99,466
1,189.0,273
1,140.0,27
1,299.9,30
1,29.9,340
1,89.0,235
1,130.0,538
1,89.0,142
1,59.9,13
1,48.9,450
1,130.0,193
1,134.9,203
1,199.0,134
1,32.99,693
1,15.49,62
1,48.4,428
1,39.9,268
1,32.9,160
1,99.99,539
1,55.0,88
1,855.0,63
1,149.99,117
1,93.99,33
1,65.9,21
1,13.3,268
1,240.0,139
1,59.9,535
1,46.4,283
1,59.9,379
1,194.97,235
1,79.9,62
1,27.9,180
1,31.9,209
2,373.9,236
1,174.99,87
1,389.9,545
1,279.9,332
1,107.7,124
1,52.17,155
1,26.9,483
2,493.24,283
1,19.99,116
1,99.9,139
1,97.0,384
1,99.87,216
1,56.99,210
1,314.8,569
1,64.0,110
1,47.9,69
1,34.9,470
1,169.0,349
1,24.89,203
1,89.99,19
1,9.9,306
1,69.99,204
1,35.9,108
1,159.9,70
1,1079.9,44
1,49.4,183
1,149.99,190
1,249.99,530
1,145.0,122
1,49.0,487
1,44.9,34
1,39.9,161
1,79.99,289
1,155.0,450
1,89.7,66
2,83.9,166
1,53.84,82
1,149.9,132
1,179.9,217
1,46.0,160
1,28.9,96
1,59.0,38
1,109.99,454
1,895.0,325
1,176.49,211
1,139.0,274
1,97.6,48
1,259.9,431
1,194.97,239
1,40.0,77
1,30.3,497
2,88.3,42
1,119.99,110
1,22.99,216
1,55.0,130
1,66.0,66
1,22.0,44
1,24.99,296
1,119.33,343
1,20.9,568
1,139.9,203
1,59.9,151
1,199.0,242
1,45.0,243
1,88.0,91
1,46.0,74
1,139.99,165
1,13.99,74
1,44.78,236
1,79.0,48
1,74.99,145
1,134.99,110
1,54.99,27
1,44.9,255
1,42.95,341
1,45.49,522
1,79.98,116
1,119.8,357
1,439.99,8
1,436.9,349
1,249.99,143
1,44.0,166
1,169.99,135
1,78.45,191
1,101.0,70
1,69.9,66
1,129.9,204
1,109.9,528
1,559.9,48
1,107.7,116
1,105.0,317
1,89.99,281
1,79.9,279
1,59.9,382
1,79.9,67
1,78.9,58
1,19.9,219
1,39.0,593
1,49.9,266
1,35.9,290
1,44.49,394
2,52.27,485
1,58.99,113
1,49.9,472
1,46.9,427
1,16.99,399
1,110.44,72
1,99.9,124
1,105.3,138
1,107.6,179
1,111.9,192
2,154.89,410
1,88.99,88
1,29.5,234
1,103.9,90
1,1890.0,83
1,195.65,27
1,118.9,83
1,17.9,73
1,109.0,27
1,79.9,25
1,164.33,497
1,59.9,425
1,85.0,237
1,140.0,283
1,41.69,110
1,12.88,71
1,58.9,280
1,55.13,439
1,35.9,345
1,572.0,386
1,229.0,63
1,87.0,114
1,34.23,247
1,53.9,183
2,247.9,238
1,13.65,69
1,17.99,145
1,119.9,182
1,99.98,7
1,13.2,114
1,109.0,139
2,53.8,328
1,145.0,115
1,105.0,356
1,13.99,503
1,122.99,214
1,59.9,167
1,39.5,311
1,29.0,48
1,36.9,384
1,69.9,427
1,29.7,109
2,40.1,519
1,19.9,222
1,119.9,153
1,49.9,540
1,99.99,240
1,15.99,460
1,137.0,81
1,9.99,7
1,66.74,197
1,69.9,17
1,199.9,592
1,355.9,18
1,78.0,69
1,202.0,91
1,39.9,27
1,119.0,39
1,189.0,93
1,122.99,259
1,153.75,78
1,131.99,133
1,59.99,148
1,89.9,422
1,109.0,222
1,58.9,237
1,134.99,39
2,50.25,243
1,19.99,13
1,669.0,498
1,37.9,185
1,58.8,460
1,29.5,235
1,44.99,424
1,79.9,127
1,109.9,31
1,49.9,218
1,29.5,223
1,50.0,21
1,135.9,552
1,199.99,184
1,59.9,350
1,70.0,146
1,109.9,155
1,91.49,266
1,349.0,437
1,599.0,228
2,138.9,240
1,899.99,318
1,25.99,7
1,133.0,171
1,159.0,534
1,149.99,288
1,47.9,168
1,139.9,285
1,134.9,694
1,36.0,99
1,150.0,93
2,119.8,355
1,38.89,324
1,149.9,155
1,44.35,492
1,109.9,300
1,120.0,281
1,27.9,572
1,149.9,88
1,115.35,60
1,12.88,333
1,14.9,90
1,369.99,232
1,36.9,133
1,99.0,81
1,23.99,279
1,129.49,24
1,118.0,11
1,89.0,13
1,18.99,111
1,47.99,447
1,59.9,461
1,99.99,113
1,169.99,483
1,27.9,37
1,325.0,292
1,108.0,223
1,66.55,25
1,29.9,279
1,169.99,319
1,133.2,215
1,70.0,304
1,12.88,14
1,45.0,193
1,60.5,153
1,23.8,201
1,49.49,40
1,300.0,143
1,27.99,270
1,52.99,133
1,109.9,33
1,24.5,281
1,240.0,288
1,66.99,542
1,69.9,400
1,219.0,54
2,239.98,391
1,189.0,95
1,28.9,54
1,75.0,396
1,389.0,204
1,338.0,151
1,42.9,179
2,49.0,247
1,412.0,139
1,198.95,534
1,49.9,281
1,117.3,212
1,42.99,470
